person,personLabel,cricinfoIdLabel,Wikipedia_page_links,Wikipedia_image_link
http://www.wikidata.org/entity/Q5229401,Dave Mohammed,52490,https://en.wikipedia.org/wiki/Dave_Mohammed,nan
http://www.wikidata.org/entity/Q3763857,Andy Roberts,52817,https://en.wikipedia.org/wiki/Andy_Roberts_(cricketer),nan
http://www.wikidata.org/entity/Q23409678,Balty Watt,53242,https://en.wikipedia.org/wiki/Balty_Watt,nan
http://www.wikidata.org/entity/Q16728034,Christine White,53584,https://en.wikipedia.org/wiki/Christine_White_(cricketer),nan
http://www.wikidata.org/entity/Q6152643,Jane Powell,53834,https://en.wikipedia.org/wiki/Jane_Powell_(cricketer),nan
http://www.wikidata.org/entity/Q6376245,Katharine Winks,53881,https://en.wikipedia.org/wiki/Katharine_Winks,nan
http://www.wikidata.org/entity/Q7369374,Ross Gregory,5436,https://en.wikipedia.org/wiki/Ross_Gregory,File:RossGregory.jpg
http://www.wikidata.org/entity/Q6120199,Jacqueline Robinson,55149,https://en.wikipedia.org/wiki/Jacqueline_Robinson,nan
http://www.wikidata.org/entity/Q3529658,Charles Coventry,55329,https://en.wikipedia.org/wiki/Charles_Coventry_(Zimbabwean_cricketer),nan
http://www.wikidata.org/entity/Q3529466,Geoff Cook,10793,https://en.wikipedia.org/wiki/Geoff_Cook,File:Geoff_Cook_Portrait.jpg
http://www.wikidata.org/entity/Q3528331,David Denton,11875,https://en.wikipedia.org/wiki/David_Denton_(cricketer),File:David_Denton_cricketer_c1895.jpg
http://www.wikidata.org/entity/Q3527583,Jamie Dalrymple,11974,https://en.wikipedia.org/wiki/Jamie_Dalrymple,nan
http://www.wikidata.org/entity/Q3528662,Bill Edrich,12492,https://en.wikipedia.org/wiki/Bill_Edrich,File:Bill_Edrich_1937.jpg
http://www.wikidata.org/entity/Q6988564,Neil Foster,12879,https://en.wikipedia.org/wiki/Neil_Foster,nan
http://www.wikidata.org/entity/Q4757244,Andrew Harris,14067,"https://en.wikipedia.org/wiki/Andrew_Harris_(cricketer,_born_1973)",nan
http://www.wikidata.org/entity/Q3525169,Neil Johnson,55528,https://en.wikipedia.org/wiki/Neil_Johnson_(cricketer),nan
http://www.wikidata.org/entity/Q7356957,Rodney Hogg,5685,https://en.wikipedia.org/wiki/Rodney_Hogg,nan
http://www.wikidata.org/entity/Q5981912,Ian Johnson,6100,https://en.wikipedia.org/wiki/Ian_Johnson_(cricketer),File:Ian_Johnson_c1946b.jpg
http://www.wikidata.org/entity/Q5079725,Charles Kelleway,6132,https://en.wikipedia.org/wiki/Charlie_Kelleway,File:Charlie_Kelleway_card_c1920.jpg
http://www.wikidata.org/entity/Q61943309,Martin Kent,6143,https://en.wikipedia.org/wiki/Martin_Kent,nan
http://www.wikidata.org/entity/Q5394628,Ernie McCormick,6546,https://en.wikipedia.org/wiki/Ernie_McCormick,File:Ernie_McCormick_1938-05-02.jpg
